ID ,Nme in English,Name in Amharic,Position,Place of Assignment,Detail,,
1539,Ambassador Mesfin Cherinet,?????? ???? ???? ,??/??? ???? ???? ????? ??? ?? ??????  ??? ???,???? ????? ??? ?? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1540,Getachew Dinku,?? ???? ???,?? ?????? ,?????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1541,Ayeligne Mulualem Tafie,?? ???? ????? ,????? ,???? ??????? ?? ???-??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1542,Wodo Ato Wato,?? ?? ??,???? ????? ,???? ??????? ?? ???-??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1543,Atakilti Gidey,????? ??? ,???? ????? ,???? ??????? ?? ???-??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1544,Getinet Tadesse,??  ???? ???,?? ?? ????? ,?????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1545,Dr. Nigussie Mitiku,??? ?/? ??? ???,?????? ?? ?? ?????,?????? ?????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1546,Eliyas Awato,??  ???? ???,???? ?? ?? ?????,?????? ?????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1547,Dr. Abiy Ahmed Ali,??? ?/? ??? ???? ,???? ????? ,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1548,Demeke Mekonnen,??? ?? ??? ???? ,???? ???? ????? ,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1549,Demitu Hambisa,???? ?/? ??? ???? ,????? ????? ?/?? ???? ???? ???? ????? ,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1550,Esayas Kassa,??? ?? ???? ??,???? ???? ????? ??? ,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1551,Nigussu Tilahun,???  ?? ??? ???? ,??? ????? ???,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1552,Mamo Esmelealem Mihretu,??? ?? ?? ??????? ???? ,?????? ??? ???? ????? ????? ???? ???? ???? ????,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1553,Dr. Arkebe Ekubay,??? ?/? ???? ????,??????  ???? ????? ??? ?????? ????? ??? ??? ???,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1554,Hayilay Birhane Tessema,??? ?? ???? ???? ??? ,????? ????? ?????  ????? ???? ???? ?????  ??? ,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1555,Fisha Yitagessu,??? ?? ??? ???? ,?????? ???  ???? ????? ???? ???? ???? ??????,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1556,Getachew Ambaye,??? ?? ???? ????,?????? ???  ???? ????? ???? ???? ???? ??????,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1557,Teklewold Atnafu,??? ?? ?????? ???? ,????? ?????? ??????  ???? ????? ,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1558,Teyiba Hassen,???? ?/? ??? ??? ,?????? ???? ????? ????? ?????? ??? ????,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1559,Dessie Dalkie,???  ?? ?? ???,?????? ???? ????? ?????  ?????? ???? ????,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1560,Dr. Shumetie Gizaw,??? ?/? ??? ??? ,?????? ???? ????? ?????  ?? ?/?? ??? ,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1561,Motuma Meqasa,??? ?? ??? ??? ,????? ????? ????? ????? ??? ???? ????? ??? ,???? ????? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1562,Meles Alemu,?? ??? ??? ,?????? ???? ?????? ???? ???? ???????  ???? ?/?? ?????? ,???? ????? ?/?? (????? ??),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1563,Asmelash W/Silassie Zegeye,?? ????? ?????? ,?????? ???? ?????? ???? ???? ???????  ???? ????  ?????? ,???? ????? ?/?? (????? ??),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1564,Fekadu Tessema,?? ??? ??? ,?????? ???? ?????? ???? ???? ???????  ????  ?????? ,???? ????? ?/?? (????? ??),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1565,Tefera Deribew,?? ??? ???? ,?????? ???? ?????? ???? ???? ???????  ???? ???? ??? ?????? ,???? ????? ?/?? (????? ??),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1566,Abebe Abebayehu,??? ?? ??? ????? ???????? ???? ,????? ,???????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1567,Hana Araya Silassie,?/? ?? ???? ??? ,???? ?????,???????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1568,Temesgen Tilahun,??  ????? ???? ,???? ?????,???????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1569,Anteneh Alemu,??? ?? ????? ??? ,???? ?????,???????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1570,Lelise Nemie,?/? ??? ??,?? ?? ?????,?????? ???? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1571,Shiferaw Solomon,?? ? ??? ???? ,??????? ?????? ???? ???? ??  ????? ,??????? ????  ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1572,AMARE ASGEDOM,?? ??? ????? ,???? ??? ???? ?? ?????,??????? ????  ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1573,BIRHANU FEYISSA,?? ???? ???,???? ????? ,??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1574,Bezabih Gebreyes,??? ?? ???? ?????,????? ,??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1575,Ambassador Dr. Adisalem Balema,?????? ?/? ?????? ??? ,?????? ,??? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1576,Tsegaye Mamo,?? ??? ??,?????? ??? ?/?????? ,??? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1577,Desmissie Shito,?? ??? ??,????? ??? ??? ?/?????? ,??? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1578,Atsibha Aregawi,?? ???? ????,???? ??????? ??? ??? ?/?????? ,??? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1579,Seyum Mekonnen,?? ??? ???? ,???? ????  ???? ???? ????? ???? /?????? ,??? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1580,MEKONNEN YAI,?? ???? ?? ,?? ?????? ,???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1581,G/Meskel Chala,?? ??????? ??,???? ?? ?????? ,???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1582,Daba Arya Gelan,?? ?? ??? ,?? ?????? ,????? ????? ????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1583,Tilahun Bekele,?? ???? ??? ,?/?? ?????? ,????? ????? ????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1584,Professor Fekadu Beyene,????? ??? ??? ,????? ,????? ???? ???? ???? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1585,Firenesh Mekuriya Gobena,?/? ???? ???? ,???? ????? ,????? ???? ???? ???? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1586,Kebede Yimam,?? ??? ??? ,???? ?????,????? ???? ???? ???? ??? ????    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1587,Werdi Hashim,?? ??? ??? ,????? ?????? ,????? ???? ???? ???? ??? ????    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1588,Nigussu Lemma,?? ??? ?? ,???? ???? ?? ?????? ,????? ???? ???? ???? ??? ????    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1589,Dr. Melesse Mariyo,?/? ??? ???,?? ?????? ,??? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1590,Dr. Feleke Weldeyes,?/? ??? ????? ,???? ?? ?????? ,??? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1591,Dr. Abyiot Birhanu,?/? ???? ???? ,?? ?????? ,????? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1592,Dr. Agiena Anjelo,?/? ??? ???? ,???? ?? ?????? ,????? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1593,Kumer Waqjira,??  ??? ???? ,?? ?????? ,?? ???? ??? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1594,Solomon Mekonnen BULA,?? ???? ???? ,???? ?? ?????? ,?? ???? ??? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1595,Dr. Efriem Teklie,?/? ???? ???,????? ,?? ??? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1596,Dr. Yinager Dessie,??? ?/? ???? ?? ,??,???? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1597,Yemane Yossef Tesfaye,?? ??? ??? ????,???? ?? ,???? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1598,Tiruneh Mitaf,??? ???? ??? ,???? ?? ,???? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1599,Sileshi Girma,?? ??? ??? ,?? ?????? ,???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1600,Sertse Firesibhat,?? ??? ?????? ,????  ?? ?????? ,???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1601,Dr. Hagos Abrha,?/? ??? ???? ,???? ?? ?????? ,???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1602,Tefera Fikrie,?? ??? ???,?? ?????? ,??????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1603,Lensa Mekonnen,?/? ??? ???? ,?? ?????? ,???? ???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1604,Tesfaye Worede,?? ???? ??? ,??/?? ??? ?? ?????? ,??? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1605,Tewolde G/Mariyam,???? ?/???? ,?? ?? ?????,?????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1606,Firehiwot Tamiru,?????? ???,?? ?? ?????,??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1607,Bacha Gina,?? ?? ?? ,???,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1608,Haileyesus Bekele,?? ??????  ???,???,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1609,TESHOME ALEMAYEHU,?? ??? ????? ,????,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1610,Ahadu G/Egziabher,?? ??? ?/??????? ,???? ,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1611,Getachew Waqie,??   ???? ?? ,????,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1612,Tsige Genet,?? ?? ???,???? ,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1613,B/General Ahmed Hamza,?/???? ???? ??? ,?? ??????,??? ??? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1614,Awol Abdi,?? ??? ???,???? ?? ?????? ,??? ??? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1615,Dr.Alemu Sime,?/? ??? ?? ,???? ?? ?????? ,??? ??? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1616,Beyene G/Mesqel Mada,?? ??? ???????,?? ??????,????? ???? ????? ???? ?????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1617,Habtamu H/Michael,?? ???? ?/???? ,?/?? ?????? ,????? ???? ????? ???? ?????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1618,Kefyalew Birhanu,?? ????? ????,??  ?? ????? ,????? ???? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1619,Mulugeta Seid,?? ???? ??? ,??  ?? ????? ,??????  ???? ???? ?? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1620,Woyo Roba,?? ?? ?? ,??  ?? ????? ,?????? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1621,Roba Megersa,?? ?? ???? ,?? ??????,??? ???????? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1622,Tebabal Wudneh Gelaye,?? ???? ???? ???,?? ????? ,???? ?????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1623,H/Meskel Tefera,?? ?/???? ??? ,????  ???? ,?????? ????????? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1624,Dr. Enginner Negede Abate,?/?  ?/? ??? ???,?? ????? ,?????? ????????? ????? ?????? ???? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1625,Tariku Berasu,?? ??? ???,?? ????? ,?????? ??? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1626,Gidey G/Yohannes,?? ??? ?/???? ,?? ????? ,?????? ??? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1627,Hailemariyam Gidey,?? ??????? ???,?? ????? ,???? ????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1628,Shitahun Wale,?? ???? ?? (????),?? ????? ,????? ??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1629,G/Tsadkqan Abay,?? ?/???? ???,?? ????? ,???? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1630,Abrham Teshome,?? ????? ???,?? ????? ,?????? ???? ???? ????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1631,Assefa Guya,?? ??? ?? ,?? ????? ,?????? ???? ??? ?? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1632,Mulugeta Mengiste,?? ???? ?????,?? ????? ,??? ??????? ????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1633,Mulugeta Eshetu,?? ???? ??? ,?? ????? ,????? ??? ????? ???? (??? ??? ???? ),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1634,Netsanet Lemmesa,?? ????  ???,?? ????? ,?????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1635,Desmissie Shito,?? ??? ??,????? ??? ??? ?/?????? ,??? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1636,Atsibha Aregawi,?? ???? ????,???? ??????? ??? ??? ?/?????? ,??? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1637,Seyum Mekonnen,?? ??? ???? ,???? ????  ???? ???? ????? ???? /?????? ,??? ??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1638,MEKONNEN YAI,?? ???? ?? ,?? ?????? ,???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1639,G/Meskel Chala,?? ??????? ??,???? ?? ?????? ,???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1640,Daba Arya Gelan,?? ?? ??? ,?? ?????? ,????? ????? ????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1641,Tilahun Bekele,?? ???? ??? ,?/?? ?????? ,????? ????? ????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1642,Professor Fekadu Beyene,????? ??? ??? ,????? ,????? ???? ???? ???? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1643,Firenesh Mekuriya Gobena,?/? ???? ???? ,???? ????? ,????? ???? ???? ???? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1644,Kebede Yimam,?? ??? ??? ,???? ?????,????? ???? ???? ???? ??? ????    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1645,Werdi Hashim,?? ??? ??? ,????? ?????? ,????? ???? ???? ???? ??? ????    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1646,Nigussu Lemma,?? ??? ?? ,???? ???? ?? ?????? ,????? ???? ???? ???? ??? ????    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1647,Dr. Melesse Mariyo,?/? ??? ???,?? ?????? ,??? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1648,Dr. Feleke Weldeyes,?/? ??? ????? ,???? ?? ?????? ,??? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1649,Dr. Abyiot Birhanu,?/? ???? ???? ,?? ?????? ,????? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1650,Dr. Agiena Anjelo,?/? ??? ???? ,???? ?? ?????? ,????? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1651,Kumer Waqjira,??  ??? ???? ,?? ?????? ,?? ???? ??? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1652,Solomon Mekonnen BULA,?? ???? ???? ,???? ?? ?????? ,?? ???? ??? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1653,Dr. Efriem Teklie,?/? ???? ???,????? ,?? ??? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1654,Dr. Yinager Dessie,??? ?/? ???? ?? ,??,???? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1655,Yemane Yossef Tesfaye,?? ??? ??? ????,???? ?? ,???? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1656,Tiruneh Mitaf,??? ???? ??? ,???? ?? ,???? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1657,Sileshi Girma,?? ??? ??? ,?? ?????? ,???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1658,Sertse Firesibhat,?? ??? ?????? ,????  ?? ?????? ,???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1659,Dr. Hagos Abrha,?/? ??? ???? ,???? ?? ?????? ,???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1660,Tefera Fikrie,?? ??? ???,?? ?????? ,??????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1661,Lensa Mekonnen,?/? ??? ???? ,?? ?????? ,???? ???? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1662,Tesfaye Worede,?? ???? ??? ,??/?? ??? ?? ?????? ,??? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1663,Tewolde G/Mariyam,???? ?/???? ,?? ?? ?????,?????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1664,Firehiwot Tamiru,?????? ???,?? ?? ?????,??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1665,Bacha Gina,?? ?? ?? ,???,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1666,Haileyesus Bekele,?? ??????  ???,???,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1667,TESHOME ALEMAYEHU,?? ??? ????? ,????,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1668,Ahadu G/Egziabher,?? ??? ?/??????? ,???? ,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1669,Getachew Waqie,??   ???? ?? ,????,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1670,Tsige Genet,?? ?? ???,???? ,??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1671,B/General Ahmed Hamza,?/???? ???? ??? ,?? ??????,??? ??? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1672,Awol Abdi,?? ??? ???,???? ?? ?????? ,??? ??? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1673,Dr.Alemu Sime,?/? ??? ?? ,???? ?? ?????? ,??? ??? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1674,Beyene G/Mesqel Mada,?? ??? ???????,?? ??????,????? ???? ????? ???? ?????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1675,Habtamu H/Michael,?? ???? ?/???? ,?/?? ?????? ,????? ???? ????? ???? ?????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1676,Kefyalew Birhanu,?? ????? ????,??  ?? ????? ,????? ???? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1677,Mulugeta Seid,?? ???? ??? ,??  ?? ????? ,??????  ???? ???? ?? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1678,Woyo Roba,?? ?? ?? ,??  ?? ????? ,?????? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1679,Roba Megersa,?? ?? ???? ,?? ??????,??? ???????? ????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1680,Tebabal Wudneh Gelaye,?? ???? ???? ???,?? ????? ,???? ?????? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1681,H/Meskel Tefera,?? ?/???? ??? ,????  ???? ,?????? ????????? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1682,Dr. Enginner Negede Abate,?/?  ?/? ??? ???,?? ????? ,?????? ????????? ????? ?????? ???? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1683,Tariku Berasu,?? ??? ???,?? ????? ,?????? ??? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1684,Gidey G/Yohannes,?? ??? ?/???? ,?? ????? ,?????? ??? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1685,Hailemariyam Gidey,?? ??????? ???,?? ????? ,???? ????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1686,Shitahun Wale,?? ???? ?? (????),?? ????? ,????? ??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1687,G/Tsadkqan Abay,?? ?/???? ???,?? ????? ,???? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1688,Abrham Teshome,?? ????? ???,?? ????? ,?????? ???? ???? ????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1689,Assefa Guya,?? ??? ?? ,?? ????? ,?????? ???? ??? ?? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1690,Mulugeta Mengiste,?? ???? ?????,?? ????? ,??? ??????? ????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1691,Mulugeta Eshetu,?? ???? ??? ,?? ????? ,????? ??? ????? ???? (??? ??? ???? ),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1692,Netsanet Lemmesa,?? ????  ???,?? ????? ,?????? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1693,Negaso Gidada ,??? ???,Former president ,-,OTHER PEP'S & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1695,Mulatu Teshome ,??? ???,Former president ,-,OTHER PEP'S & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1697,Sahlework Zewdie,?????? ???,Current president,-,OTHER PEP'S & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1701,Hailemariam Desalegn Boshe ,?/???? ???„ ??,Former prime Minister ,-,OTHER PEP'S & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1704,Zinash Tayachew ,??? ????,Wife of the current prime Minister ,-,OTHER PEP'S & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1706,Habib Ali Mirah ,??? ?? ???,Former president of Afar Region  ,-,OTHER PEP'S & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1707,Hanfareh Ali Mirah,???? ?? ???,Former president of Afar Region  ,-,OTHER PEP'S & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
1708,Ismail Ali Serro,????? ?? ???,Former president of Afar Region  ,-,OTHER PEP'S & REPRESENTATIVES OF OTHER POLETICA PARTIES ,,
